Date/Statios,Ananea,Arapa,Azangaro,Cabanillas,Capachica,Chuquibambilla,Cojata,Crucero,CruceroAlto,Desaguadero,Huancane,HuarayaMoho,Ilave,Juli,Lampa,Mazocruz,Pampahuta,Pizacoma,Progreso,Puno,Putina,Santa Rosa
5/1987,13.100,2.800,6.300,0.000,2.200,1.100,20.200,21.700,0.800,5.600,23.200,13.100,1.100,5.500,4.000,0.000,0.600,0.800,1.500,1.700,2.500,
6/1987,8.900,4.300,5.300,0.900,14.600,1.400,2.600,7.600,0.000,20.000,10.200,7.100,7.300,8.700,1.800,8.600,2.400,0.400,1.000,3.800,2.100,
7/1987,35.800,22.200,28.400,7.600,19.400,7.300,19.000,41.100,21.200,29.600,18.200,46.200,19.100,19.200,19.200,23.400,25.200,29.500,23.400,12.500,29.000,
8/1987,4.800,33.300,,1.500,0.000,0.900,11.200,0.000,1.800,4.300,14.400,8.800,4.800,1.300,0.000,0.000,1.400,0.600,0.000,0.000,6.000,
9/1987,14.700,6.000,,9.000,28.400,3.200,8.600,16.400,0.000,24.200,5.400,10.000,20.200,18.600,4.200,0.000,1.500,2.600,7.500,4.300,3.600,
10/1987,48.100,38.500,,27.700,28.500,9.300,66.300,73.500,15.300,75.000,72.400,51.400,46.100,64.200,29.600,26.800,35.400,30.200,57.800,58.400,47.500,
11/1987,119.600,125.400,,111.600,24.000,96.600,84.600,148.200,,138.600,78.400,94.300,89.300,155.400,146.600,28.400,84.500,60.000,126.300,110.800,98.600,
12/1987,125.900,70.100,,69.600,32.600,79.800,,111.500,,48.200,57.000,84.100,18.000,43.700,101.400,22.400,45.500,34.800,144.800,25.400,34.500,
1/1988,112.800,164.200,,273.600,110.000,201.800,186.400,116.900,213.800,226.600,227.400,214.600,158.700,300.300,194.500,80.400,186.000,280.800,148.800,213.200,120.600,
2/1988,93.900,56.900,,93.200,167.200,72.600,106.800,161.300,52.000,68.800,77.900,158.000,53.300,70.400,56.500,39.900,69.900,69.500,85.000,73.500,66.000,
3/1988,115.400,163.000,,155.400,171.200,153.400,119.800,164.600,,194.600,269.800,263.100,169.800,249.600,160.500,36.000,214.000,211.000,154.800,228.900,201.100,
4/1988,76.800,127.900,,67.200,,71.300,64.400,88.500,79.200,73.000,123.200,94.200,101.300,124.000,117.300,69.900,110.300,134.400,61.400,72.900,91.900,
5/1988,24.200,59.400,,17.400,26.800,16.900,38.500,22.000,10.100,7.000,48.600,57.200,13.700,9.000,21.700,12.600,0.500,14.900,17.600,23.300,12.000,
6/1988,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.400,0.200,0.000,0.000,0.000,2.400,0.000,0.000,0.000,
